,n_word,n_firstSound,n_word_count,n_lemma,n_lemma_count,det,det_count,num,num_count,n_id,sen_id
2974.0,weapon,Consonant,14,weapon,60,the,9347.0,,,3,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0043
2975.0,letter,Consonant,56,letter,69,,,,,7,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0043
2976.0,opener,Vowel,2,opener,2,,,,,8,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0043
2977.0,email,Consonant,96,email,106,an,590.0,,,5,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0044
2978.0,follow,Consonant,3,follow,3,,,,,8,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0044
2979.0,up,Vowel,23,up,27,a,4555.0,,,10,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0044
2980.0,reopening,Consonant,1,reopening,1,the,9347.0,,,13,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0044
2981.0,investigation,Vowel,8,investigation,10,the,9347.0,,,16,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0044
2982.0,child,Consonant,22,child,76,,,,,20,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0044
2983.0,murders,Consonant,12,murder,29,the,9347.0,,,21,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0044
2984.0,man,Consonant,49,man,73,the,9347.0,,,9,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0045
2985.0,investigations,Vowel,2,investigation,10,the,9347.0,,,13,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0045
2986.0,year,Consonant,208,year,395,,,,,15,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0045
2987.0,people,Consonant,316,people,327,the,9347.0,,,5,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0046
2988.0,county,Consonant,3,county,7,the,9347.0,,,8,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0046
2989.0,replacement,Consonant,9,replacement,9,a,4555.0,,,14,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0046
2990.0,none,Consonant,20,none,20,,,,,17,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0046
2991.0,supervisor,Consonant,2,supervisor,2,the,9347.0,,,25,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0046
2992.0,office,Vowel,89,office,104,,,,,34,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0046
2993.0,murders,Consonant,12,murder,29,the,9347.0,,,37,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0046
2994.0,investigation,Vowel,8,investigation,10,the,9347.0,,,41,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0046
2995.0,police,Consonant,26,police,26,,,,,1,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0048
2996.0,prosecutors,Consonant,3,prosecutor,4,,,,,3,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0048
2997.0,tools,Consonant,3,tool,14,the,9347.0,,,6,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0048
2998.0,will,Consonant,6,will,6,the,9347.0,,,2,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0049
2999.0,matter,Consonant,14,matter,22,another,127.0,,,5,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0049
3000.0,domain,Consonant,4,domain,5,the,9347.0,,,5,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0052
3001.0,lots,Consonant,44,lot,158,,,,,1,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0053
3002.0,stories,Consonant,14,story,40,,,,,4,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0053
3003.0,today,Consonant,103,today,104,,,,,7,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0053
3004.0,souls,Consonant,3,soul,8,a,4555.0,,,16,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0053
3005.0,conviction,Consonant,5,conviction,8,that,203.0,,,19,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0053
3006.0,law,Consonant,41,law,55,,,,,3,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0055
3007.0,enforcement,Consonant,11,enforcement,11,,,,,4,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0055
3008.0,will,Consonant,6,will,6,the,9347.0,,,8,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0055
3009.0,crackdown,Consonant,2,crackdown,2,,,,,1,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0056
3010.0,polygamy,Consonant,1,polygamy,1,,,,,3,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0056
3011.0,group,Consonant,97,group,143,,,,,4,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0056
3012.0,groups,Consonant,46,group,143,,,,,3,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0057
3013.0,eye,Consonant,11,eye,21,the,9347.0,,,16,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0057
3014.0,authorities,Consonant,12,authority,25,,,,,18,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0057
3015.0,sect,Consonant,4,sect,4,a,4555.0,,,22,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0057
3016.0,leader,Consonant,31,leader,72,,,,,4,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0059
3017.0,list,Consonant,73,list,81,,,,,14,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0059
3018.0,fugitives,Consonant,2,fugitive,2,,,ten,15.0,20,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0059
3019.0,move,Consonant,17,move,19,a,4555.0,,,24,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0059
3020.0,law,Consonant,41,law,55,,,,,27,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0059
3021.0,enforcement,Consonant,11,enforcement,11,,,,,28,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0059
3022.0,change,Consonant,53,change,95,,,,,31,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0059
3023.0,approach,Consonant,7,approach,8,,,,,33,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0059
3024.0,group,Consonant,97,group,143,the,9347.0,,,37,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0059
3025.0,years,Consonant,186,year,395,,,,,40,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0059
3026.0,impact,Vowel,8,impact,12,the,9347.0,,,47,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0059
3027.0,group,Consonant,97,group,143,the,9347.0,,,50,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0059
3028.0,practices,Consonant,5,practice,19,,,,,52,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0059
3029.0,law,Consonant,41,law,55,,,,,54,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0059
3030.0,enforcement,Consonant,11,enforcement,11,,,,,55,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0059
3031.0,officials,Vowel,33,official,42,,,,,56,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0059
3032.0,sect,Consonant,4,sect,4,the,9347.0,,,67,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0059
3033.0,children,Consonant,54,child,76,,,,,70,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0059
3034.0,women,Consonant,25,woman,43,,,,,72,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0059
3035.0,father,Consonant,20,father,21,,,,,10,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0060
3036.0,followers,Consonant,2,follower,2,some,337.0,"10,000",3.0,18,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0060
3037.0,communities,Consonant,8,community,24,,,,,22,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0060
3038.0,assets,Consonant,9,asset,14,,,,,25,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0060
3039.0,government,Consonant,74,government,79,,,,,36,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0060
3040.0,officials,Vowel,33,official,42,,,,,37,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0060
3041.0,school,Consonant,63,school,68,,,,,39,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0060
3042.0,authorities,Consonant,12,authority,25,,,,,40,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0060
3043.0,police,Consonant,26,police,26,,,,,43,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0060
3044.0,communities,Consonant,8,community,24,those,81.0,,,46,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0060
3045.0,sect,Consonant,4,sect,4,the,9347.0,,,52,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0060
3046.0,ex-members,Consonant,2,ex-member,2,,,,,55,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0060
3047.0,child,Consonant,22,child,76,,,,,58,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0060
3048.0,abuse,Consonant,7,abuse,8,,,,,61,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0060
3049.0,charges,Consonant,7,charge,25,,,,,62,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0060
3050.0,girls,Consonant,24,girl,64,,,,,67,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0060
3051.0,men,Consonant,24,man,73,,,,,72,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0060
3052.0,sect,Consonant,4,sect,4,the,9347.0,,,78,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0060
3053.0,compounds,Consonant,1,compound,1,,,,,83,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0060
3054.0,state,Consonant,64,state,74,,,,,85,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0060
3055.0,authorities,Consonant,12,authority,25,,,,,88,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0060
3056.0,assault,Consonant,9,assault,9,,,,,12,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0062
3057.0,girls,Consonant,24,girl,64,,,,,15,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0062
3058.0,marriages,Consonant,4,marriage,27,,,,,22,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0062
3059.0,girls,Consonant,24,girl,64,,,,,24,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0062
3060.0,men,Consonant,24,man,73,,,,,27,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0062
3061.0,weekend,Consonant,38,weekend,48,,,,,2,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0063
3062.0,press,Consonant,25,press,25,,,,,3,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0063
3063.0,conferences,Consonant,6,conference,35,,,,,4,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0063
3064.0,state,Consonant,64,state,74,,,,,14,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0063
3065.0,officials,Vowel,33,official,42,,,,,15,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0063
3066.0,bodyguards,Consonant,1,bodyguard,1,,,,,30,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0063
3067.0,past,Consonant,11,past,11,the,9347.0,,,3,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0064
3068.0,terms,Consonant,12,term,46,,,,,10,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0064
3069.0,end,Consonant,84,end,87,a,4555.0,,,14,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0064
3070.0,world,Consonant,140,world,141,the,9347.0,,,17,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0064
3071.0,members,Consonant,49,member,77,,,,,22,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0064
3072.0,hate,Consonant,1,hate,1,,,,,7,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0066
3073.0,philosophies,Consonant,1,philosophy,3,,,,,10,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0066
3074.0,racism,Consonant,3,racism,3,,,,,25,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0066
3075.0,race,Consonant,6,race,6,the,9347.0,,,4,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0067
3076.0,people,Consonant,316,people,327,the,9347.0,,,7,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0067
3077.0,devil,Consonant,1,devil,1,the,9347.0,,,11,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0067
3078.0,evil,Consonant,4,evil,4,,,,,18,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0067
3079.0,earth,Consonant,8,earth,8,the,9347.0,,,21,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0067
3080.0,intelligence,Vowel,27,intelligence,27,,,,,37,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0067
3081.0,report,Consonant,54,report,79,,,,,38,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0067
3082.0,editorial,Consonant,1,editorial,1,an,590.0,,,2,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0068
3083.0,church,Consonant,15,church,15,,,,,5,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0068
3084.0,year,Consonant,208,year,395,this,886.0,,,17,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0068
3085.0,state,Consonant,64,state,74,the,9347.0,,,22,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0068
3086.0,history,Consonant,30,history,30,,,,,24,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0068
3087.0,belief,Consonant,6,belief,8,a,4555.0,,,28,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0068
3088.0,choice,Consonant,23,choice,27,,,,,31,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0068
3089.0,unwillingness,Vowel,2,unwillingness,2,an,590.0,,,35,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0068
3090.0,hornet,Consonant,1,hornet,1,a,4555.0,,,40,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0068
3091.0,nest,Consonant,8,nest,8,,,,,42,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0068
3092.0,media,Consonant,35,media,35,the,9347.0,,,46,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0068
3093.0,kid,Consonant,6,kid,51,,,,,53,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0068
3094.0,glove,Consonant,1,glove,1,,,,,55,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0068
3095.0,approach,Consonant,7,approach,8,the,9347.0,,,56,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0068
3096.0,lawmakers,Consonant,2,lawmaker,2,,,,,57,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0068
3097.0,law,Consonant,41,law,55,,,,,59,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0068
3098.0,enforcement,Consonant,11,enforcement,11,,,,,61,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0068
3099.0,officers,Vowel,13,officer,22,,,,,62,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0068
3100.0,communities,Consonant,8,community,24,,,,,69,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0068
3101.0,ak47's,Consonant,1,ak47',1,,,"200,000",6.0,19,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0070
3102.0,tracking,Consonant,2,tracking,2,,,,,5,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0071
3103.0,mechanism,Consonant,6,mechanism,7,no,308.0,,,6,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0071
3104.0,place,Consonant,276,place,337,,,,,8,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0071
3105.0,need,Consonant,18,need,41,no,308.0,,,2,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0073
3106.0,kind,Consonant,37,kind,46,this,886.0,,,5,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0074
3107.0,thing,Consonant,100,thing,200,,,,,7,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0074
3108.0,time,Consonant,479,time,558,the,9347.0,,,12,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0074
3109.0,programming,Consonant,2,programming,2,,,,,9,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0075
3110.0,headlines,Consonant,3,headline,4,,,14,10.0,6,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0078
3111.0,evidence,Consonant,18,evidence,18,the,9347.0,,,9,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0079
3112.0,jury,Consonant,5,jury,5,the,9347.0,,,11,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0079
3113.0,case,Consonant,66,case,79,,,,,19,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0079
3114.0,things,Consonant,100,thing,200,some,337.0,,,4,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0080
3115.0,prosecutors,Consonant,3,prosecutor,4,,,,,12,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0080
3116.0,conspiracy,Consonant,3,conspiracy,3,,,,,8,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0081
3117.0,network,Consonant,13,network,19,,,,,10,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0081
3118.0,abusers,Consonant,1,abuser,1,,,,,12,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0081
3119.0,underground,Vowel,1,underground,1,a,4555.0,,,15,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0081
3120.0,case,Consonant,66,case,79,a,4555.0,,,5,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0082
3121.0,people,Consonant,316,people,327,some,337.0,,,11,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0082
3122.0,judge,Consonant,16,judge,22,a,4555.0,,,18,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0082
3123.0,bench,Consonant,2,bench,2,the,9347.0,,,22,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0082
3124.0,state,Consonant,64,state,74,,,,,26,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0082
3125.0,law,Consonant,41,law,55,,,,,27,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0082
3126.0,law,Consonant,41,law,55,,,,,3,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0083
3127.0,enforcement,Consonant,11,enforcement,11,,,,,4,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0083
3128.0,feet,Consonant,20,feet,2,,,,,8,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0083
3129.0,members,Consonant,49,member,77,,,,,10,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0083
3130.0,part,Consonant,72,part,102,,,,,13,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0083
3131.0,activity,Consonant,17,activity,45,the,9347.0,,,16,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0083
3132.0,damn,Consonant,1,damn,1,a,4555.0,,,7,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0084
3133.0,adults,Consonant,17,adult,21,,,,,9,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0084
3134.0,abuse,Consonant,7,abuse,8,no,308.0,,,20,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0084
3135.0,marrying,Consonant,1,marrying,1,the,9347.0,,,4,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0085
3136.0,off,Vowel,6,off,7,,,,,5,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0085
3137.0,girls,Consonant,24,girl,64,,,,,8,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0085
3138.0,men,Consonant,24,man,73,,,,,11,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0085
3139.0,relatives,Consonant,4,relative,6,,,,,14,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0085
3140.0,cults,Consonant,1,cult,3,these,199.0,,,3,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0086
3141.0,multimillions,Consonant,1,multimillion,1,,,,,5,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0086
3142.0,women,Consonant,25,woman,43,the,9347.0,,,8,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0086
3143.0,kids,Consonant,45,kid,51,,,,,10,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0086
3144.0,poverty,Consonant,8,poverty,8,,,,,13,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0086
3145.0,leaders,Consonant,41,leader,72,the,9347.0,,,16,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0086
3146.0,life,Consonant,95,life,115,the,9347.0,,,21,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0086
3147.0,cult,Consonant,2,cult,3,the,9347.0,,,5,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0087
3148.0,wives,Consonant,4,wife,46,,,,,8,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0087
3149.0,husband,Consonant,18,husband,20,the,9347.0,,,11,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0087
3150.0,husband,Consonant,18,husband,20,the,9347.0,,,19,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0087
3151.0,husbands,Consonant,2,husband,20,,,,,1,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0088
3152.0,mothers,Consonant,3,mother,16,,,,,3,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0088
3153.0,teen,Consonant,2,teen,2,,,,,5,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0088
3154.0,daughters,Consonant,4,daughter,20,,,,,6,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0088
3155.0,time,Consonant,479,time,558,the,9347.0,,,10,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0088
3156.0,form,Consonant,53,form,64,a,4555.0,,,3,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0089
3157.0,retardation,Consonant,1,retardation,1,,,,,5,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0089
3158.0,group,Consonant,97,group,143,that,203.0,,,11,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0089
3159.0,world,Consonant,140,world,141,the,9347.0,,,18,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0089
3160.0,child,Consonant,22,child,76,the,9347.0,,,6,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0090
3161.0,gene,Consonant,5,gene,7,the,9347.0,,,11,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0090
3162.0,parents,Consonant,29,parent,37,both,29.0,,,14,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0090
3163.0,vegetable,Consonant,3,vegetable,6,a,4555.0,,,19,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0090
3164.0,child,Consonant,22,child,76,a,4555.0,,,24,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0090
3165.0,doctor,Consonant,36,doctor,40,the,9347.0,,,2,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0091
3166.0,blood,Consonant,24,blood,24,the,9347.0,,,16,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0091
3167.0,fumarase,Consonant,1,fumarase,1,,,,,3,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0092
3168.0,deficiency,Consonant,2,deficiency,2,,,,,4,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0092
3169.0,info,Vowel,27,info,27,,,,,7,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0092
3170.0,family,Consonant,106,family,127,the,9347.0,,,6,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0093
3171.0,member,Consonant,28,member,77,,,one,244.0,2,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0094
3172.0,teen,Consonant,2,teen,2,,,,,9,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0094
3173.0,daughter,Consonant,16,daughter,20,,,,,10,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0094
3174.0,marriage,Consonant,23,marriage,27,,,,,18,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0094
3175.0,father,Consonant,20,father,21,,,,,22,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0094
3176.0,brother,Consonant,8,brother,10,,,,,25,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0094
3177.0,one,Vowel,109,one,150,no,308.0,,,2,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0095
3178.0,marriage,Consonant,23,marriage,27,,,,,7,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0095
3179.0,beating,Consonant,2,beating,2,the,9347.0,,,11,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0095
3180.0,weapon,Consonant,14,weapon,60,some,337.0,,,7,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0096
