,adj_word,adj_lemma,adj_id,mod_adj,n_word,n_lemma,n_id,sen_len,sen_id
237,minded,minded,18,,,,,30,weblog-juancole.com_juancole_20041018060600_ENG_20041018_060600-0016
238,violent,violent,9,,interpretation,interpretation,10,31,weblog-juancole.com_juancole_20041018060600_ENG_20041018_060600-0017
239,early,early,28,,,,,31,weblog-juancole.com_juancole_20041018060600_ENG_20041018_060600-0017
240,worrisome,worrisome,2,,sign,sign,3,33,weblog-juancole.com_juancole_20041018060600_ENG_20041018_060600-0018
241,local,local,6,Sunni,fundamentalists,fundamentalist,9,33,weblog-juancole.com_juancole_20041018060600_ENG_20041018_060600-0018
242,Iraqi,iraqi,7,Sunni,fundamentalists,fundamentalist,9,33,weblog-juancole.com_juancole_20041018060600_ENG_20041018_060600-0018
243,Sunni,sunni,8,Iraqi,fundamentalists,fundamentalist,9,33,weblog-juancole.com_juancole_20041018060600_ENG_20041018_060600-0018
244,distinctive,distinctive,28,orange,insignia,insignia,32,33,weblog-juancole.com_juancole_20041018060600_ENG_20041018_060600-0018
245,orange,orange,29,distinctive,insignia,insignia,32,33,weblog-juancole.com_juancole_20041018060600_ENG_20041018_060600-0018
246,black,black,31,,,,,33,weblog-juancole.com_juancole_20041018060600_ENG_20041018_060600-0018
247,Iraqi,iraqi,6,,crowds,crowd,7,16,weblog-juancole.com_juancole_20041018060600_ENG_20041018_060600-0019
248,smaller,smaller,4,fundamentalist,groups,group,8,57,weblog-juancole.com_juancole_20041018060600_ENG_20041018_060600-0021
249,local,local,5,fundamentalist,groups,group,8,57,weblog-juancole.com_juancole_20041018060600_ENG_20041018_060600-0021
250,radical,radical,6,fundamentalist,groups,group,8,57,weblog-juancole.com_juancole_20041018060600_ENG_20041018_060600-0021
251,fundamentalist,fundamentalist,7,radical,groups,group,8,57,weblog-juancole.com_juancole_20041018060600_ENG_20041018_060600-0021
252,part,part,50,,,,,57,weblog-juancole.com_juancole_20041018060600_ENG_20041018_060600-0021
253,responsible,responsible,51,,,,,57,weblog-juancole.com_juancole_20041018060600_ENG_20041018_060600-0021
254,key,key,10,,mistakes,mistake,11,20,weblog-juancole.com_juancole_20040722101300_ENG_20040722_101300-0002
255,fair,fair,9,,mindedness,mindedness,11,17,weblog-juancole.com_juancole_20040722101300_ENG_20040722_101300-0005
256,many,many,14,,words,word,16,17,weblog-juancole.com_juancole_20040722101300_ENG_20040722_101300-0005
257,obsessed,obsessed,12,,,,,15,weblog-juancole.com_juancole_20040722101300_ENG_20040722_101300-0009
258,latter,latter,9,,,,,52,weblog-juancole.com_juancole_20040722101300_ENG_20040722_101300-0011
259,preeminent,preeminent,21,,threat,threat,22,52,weblog-juancole.com_juancole_20040722101300_ENG_20040722_101300-0011
260,Egyptian,egyptian,32,,component,component,34,48,weblog-juancole.com_juancole_20040722101300_ENG_20040722_101300-0012
261,wrong,wrong,46,,threat,threat,47,48,weblog-juancole.com_juancole_20040722101300_ENG_20040722_101300-0012
262,operational,operational,11,,links,link,12,24,weblog-juancole.com_juancole_20040722101300_ENG_20040722_101300-0016
263,good,good,19,,targets,target,20,24,weblog-juancole.com_juancole_20040722101300_ENG_20040722_101300-0017
264,other,other,16,,terrorists,terrorist,17,24,weblog-juancole.com_juancole_20040722101300_ENG_20040722_101300-0018
265,great,great,9,white,whale,whale,11,12,weblog-juancole.com_juancole_20040722101300_ENG_20040722_101300-0022
266,white,white,10,great,whale,whale,11,12,weblog-juancole.com_juancole_20040722101300_ENG_20040722_101300-0022
267,Imperial,imperial,1,,Hubris,hubris,2,31,weblog-juancole.com_juancole_20040722101300_ENG_20040722_101300-0023
268,counter-terrorism,counter-terrorism,14,,divisions,division,15,31,weblog-juancole.com_juancole_20040722101300_ENG_20040722_101300-0023
269,vocal,vocal,9,,,,,22,weblog-juancole.com_juancole_20040722101300_ENG_20040722_101300-0025
270,focused,focused,11,,,,,22,weblog-juancole.com_juancole_20040722101300_ENG_20040722_101300-0025
271,real,real,7,,cooperation,cooperation,8,57,weblog-juancole.com_juancole_20040722101300_ENG_20040722_101300-0026
272,excited,excited,46,,chatter,chatter,47,57,weblog-juancole.com_juancole_20040722101300_ENG_20040722_101300-0026
273,radical,radical,54,,terrorists,terrorist,56,57,weblog-juancole.com_juancole_20040722101300_ENG_20040722_101300-0026
274,Pakistani,pakistani,8,,,,,39,weblog-juancole.com_juancole_20040722101300_ENG_20040722_101300-0028
275,Special,special,26,,Ops,op,27,39,weblog-juancole.com_juancole_20040722101300_ENG_20040722_101300-0028
276,wrong,wrong,15,,,,,16,weblog-juancole.com_juancole_20040722101300_ENG_20040722_101300-0029
277,Pakistani,pakistani,4,,space,space,6,7,weblog-juancole.com_juancole_20040722101300_ENG_20040722_101300-0030
278,set,set,5,,,,,10,weblog-juancole.com_juancole_20040722101300_ENG_20040722_101300-0031
279,Pakistani,pakistani,2,,army,army,3,22,weblog-juancole.com_juancole_20040722101300_ENG_20040722_101300-0033
280,rife,rife,5,,,,,22,weblog-juancole.com_juancole_20040722101300_ENG_20040722_101300-0033
281,protective,protective,8,,elements,element,7,22,weblog-juancole.com_juancole_20040722101300_ENG_20040722_101300-0033
282,new,new,15,military,government,government,17,22,weblog-juancole.com_juancole_20040722101300_ENG_20040722_101300-0033
283,military,military,16,new,government,government,17,22,weblog-juancole.com_juancole_20040722101300_ENG_20040722_101300-0033
284,Pakistani,pakistani,8,,soil,soil,9,21,weblog-juancole.com_juancole_20040722101300_ENG_20040722_101300-0034
285,Pakistani,pakistani,27,,facilities,facility,28,29,weblog-juancole.com_juancole_20040722101300_ENG_20040722_101300-0035
286,main,main,10,,force,force,11,12,weblog-juancole.com_juancole_20040722101300_ENG_20040722_101300-0036
287,exciting,exciting,2,,,,,3,email-enronsent23_10-0002
288,few,few,6,,things,thing,7,7,email-enronsent23_01-0005
289,retarded,retarded,3,,,,,4,email-enronsent23_05-0001
290,great,great,3,,dogs,dog,4,5,email-enronsent23_05-0003
291,retarded,retarded,4,,,,,5,email-enronsent23_05-0004
292,last,last,6,,night,night,7,8,email-enronsent23_12-0001
293,nice,nice,1,,sarcasm,sarcasm,2,3,email-enronsent23_12-0002
294,fine,fine,3,,,,,21,email-enronsent23_12-0003
295,nice,nice,5,,,,,7,email-enronsent23_02-0004
296,nice,nice,5,,somewhere,somewhere,4,6,email-enronsent23_02-0006
297,real,real,1,,nice,nice,2,3,email-enronsent23_02-0007
298,other,other,10,,girl,girl,11,17,email-enronsent23_06-0003
299,else,else,7,,,,,8,email-enronsent23_06-0006
300,brown,brown,12,,jacket,jacket,14,15,email-enronsent23_07-0003
301,blonde,blonde,7,,chick,chick,8,11,email-enronsent23_07-0006
302,last,last,4,,night,night,5,6,email-enronsent23_07-0008
303,sure,sure,3,,,,,6,email-enronsent23_03-0001
304,affected,affected,6,,,,,15,email-enronsent23_03-0002
305,most,most,8,,,,,15,email-enronsent23_03-0002
306,good,good,4,,,,,6,email-enronsent23_03-0003
307,next,next,6,,weekend,weekend,7,8,email-enronsent23_03-0005
308,more,more,4,,,,,17,email-enronsent23_03-0006
309,next,next,13,,month,month,14,17,email-enronsent23_03-0006
310,sure,sure,4,,,,,11,email-enronsent23_03-0008
311,reliable,reliable,6,,,,,11,email-enronsent23_03-0008
312,good,good,5,,relationship,relationship,6,9,email-enronsent27_02-0006
313,sure,sure,15,,,,,24,email-enronsent27_02-0009
314,amazed,amazed,3,,,,,13,email-enronsent27_02-0010
315,fuzzy,fuzzy,8,,,,,13,email-enronsent27_02-0010
316,old,old,11,,project,project,12,13,email-enronsent27_02-0010
317,difficult,difficult,24,,,,,25,email-enronsent27_02-0011
318,willing,willing,16,,,,,19,email-enronsent27_02-0012
319,Good,good,1,,luck,luck,2,3,email-enronsent27_02-0013
320,Dear,dear,1,,,,,4,email-enronsent21_01-0004
321,nuts,nuts,7,,,,,18,email-enronsent21_01-0009
322,overdue,overdue,11,,margin,margin,12,13,email-enronsent21_01-0015
323,Original,original,1,,Call,call,3,6,email-enronsent21_01-0016
324,Due,due,5,,Margin,margin,4,6,email-enronsent21_01-0016
325,additional,additional,9,,information,information,10,11,email-enronsent21_01-0021
326,sure,sure,2,,,,,13,email-enronsent04_02-0001
327,interested,interested,6,,,,,7,email-enronsent04_02-0008
328,Best,best,1,,,,,2,email-enronsent04_02-0009
329,good,good,7,,thing,thing,8,54,email-enronsent04_02-0013
330,preferable,preferable,18,,alternative,alternative,19,54,email-enronsent04_02-0013
331,important,important,30,,,,,54,email-enronsent04_02-0013
332,broken,broken,48,,system,system,49,54,email-enronsent04_02-0013
333,potential,potential,52,,spoiler,spoiler,53,54,email-enronsent04_02-0013
334,sure,sure,4,,,,,17,email-enronsent04_02-0017
335,daily,daily,1,,dose,dose,2,5,email-enronsent23_04-0001
336,finished,finished,3,,,,,4,email-enronsent23_04-0002
337,only,only,16,,way,way,17,22,email-enronsent23_04-0003
338,more,more,6,,games,game,8,15,email-enronsent23_04-0006
339,free,free,13,,ticket,ticket,14,15,email-enronsent23_04-0006
340,next,next,37,,games,game,39,41,email-enronsent23_04-0007
341,done,done,11,,deal,deal,12,24,email-enronsent23_04-0008
342,last,last,22,,season,season,23,24,email-enronsent23_04-0008
343,stronger,stronger,3,,will,will,4,8,email-enronsent23_04-0014
344,sure,sure,3,,,,,14,email-enronsent23_04-0016
345,tired,tired,4,,,,,10,email-enronsent23_04-0020
346,able,able,19,,,,,29,email-enronsent18_01-0002
347,suitable,suitable,9,,number,number,13,18,email-enronsent18_01-0006
348,fast,fast,7,,turnaround,turnaround,8,9,email-enronsent18_01-0007
349,double,double,16,,,,,25,email-enronsent18_01-0009
350,Grateful,grateful,1,,,,,10,email-enronsent18_01-0010
351,last,last,8,,week,week,9,12,email-enronsent18_01-0013
352,direct,direct,21,,dial,dial,22,38,email-enronsent18_01-0017
353,related,related,15,,party,party,16,19,email-enronsent32_02-0006
354,earliest,earliest,6,,convenience,convenience,7,8,email-enronsent32_02-0014
355,separate,separate,10,,e'mail,e'mail,11,12,email-enronsent32_02-0026
356,excess,excess,10,,credit,credit,11,12,email-enronsent32_02-0030
357,available,available,14,,,,,15,email-enronsent32_02-0031
358,sorry,sorry,3,,,,,11,email-enronsent36_01-0005
359,related,related,10,,issues,issue,9,14,email-enronsent36_01-0006
360,Wholesale,wholesale,4,,Services,service,5,27,email-enronsent36_01-0016
361,blank,blank,5,,sample,sample,7,37,email-enronsent36_01-0020
362,sample,sample,18,Corporate,ISDAs,isda,19,37,email-enronsent36_01-0020
363,Corporate,corporate,25,sample,ISDAs,isda,19,37,email-enronsent36_01-0020
364,Municipal,municipal,36,,,,,37,email-enronsent36_01-0020
365,corporate,corporate,9,,Paragraph,paragraph,10,21,email-enronsent36_01-0021
366,fine,fine,13,,,,,14,email-enronsent36_01-0022
367,blank,blank,13,,Paragraph,paragraph,15,21,email-enronsent36_01-0025
368,standard,standard,3,,,,,4,email-enronsent36_01-0026
369,subject,subject,3,,Caveat,caveat,1,12,email-enronsent36_01-0027
370,similar,similar,22,,Annex,annex,20,33,email-enronsent36_01-0032
371,appropriate,appropriate,16,,sections,section,17,22,email-enronsent36_01-0033
372,blank,blank,18,,,,,22,email-enronsent36_01-0033
373,OK,ok,8,,,,,29,email-enronsent09_02-0004
374,general,general,21,,feel,feel,22,29,email-enronsent09_02-0004
375,imminent,imminent,4,cold,weather,weather,6,25,email-enronsent09_02-0006
376,cold,cold,5,imminent,weather,weather,6,25,email-enronsent09_02-0006
377,crazy,crazy,10,,,,,25,email-enronsent09_02-0006
378,best,best,18,,time,time,19,25,email-enronsent09_02-0006
379,good,good,27,,time,time,28,29,email-enronsent09_02-0007
380,new,new,2,,deal,deal,5,11,email-enronsent09_02-0011
381,new,new,4,,lawnmower,lawnmower,5,18,email-enronsent09_02-0029
382,little,little,16,,,,,18,email-enronsent09_02-0029
383,GOOD,good,4,,WORK,work,5,6,email-enronsent09_02-0033
384,great,great,7,,time,time,8,9,email-enronsent09_02-0041
385,other,other,12,,folks,folk,13,17,email-enronsent09_02-0043
386,free,free,16,,,,,17,email-enronsent09_02-0043
387,free,free,3,,,,,10,email-enronsent29_02-0004
388,extra,extra,6,,ticket,ticket,7,20,email-enronsent29_02-0005
389,standard,standard,12,,template,template,13,21,email-enronsent29_02-0013
390,more,more,5,,,,,22,email-enronsent29_02-0014
391,more,more,7,,,,,22,email-enronsent29_02-0014
392,Global,global,20,,Contracts,contract,21,22,email-enronsent29_02-0014
393,Global,global,10,,Contracts,contract,11,27,email-enronsent29_02-0016
394,good,good,3,,,,,5,email-enronsent29_02-0017
395,fine,fine,3,,,,,4,email-enronsent29_02-0018
396,free,free,3,,,,,8,email-enronsent29_02-0019
397,free,free,3,,,,,7,email-enronsent29_02-0023
398,interested,interested,7,,,,,8,email-enronsent29_02-0025
399,Administrative,administrative,3,,Coordinator,coordinator,4,24,email-enronsent29_02-0026
400,free,free,3,,,,,10,email-enronsent29_02-0027
401,extra,extra,6,,ticket,ticket,7,20,email-enronsent29_02-0028
402,Administrative,administrative,3,,Coordinator,coordinator,4,24,email-enronsent29_02-0035
403,good,good,3,,,,,5,email-enronsent29_02-0036
404,fine,fine,3,,,,,4,email-enronsent29_02-0037
405,free,free,3,,,,,8,email-enronsent29_02-0038
406,free,free,3,,,,,7,email-enronsent29_02-0042
407,interested,interested,7,,,,,8,email-enronsent29_02-0044
408,Administrative,administrative,3,,Coordinator,coordinator,4,24,email-enronsent29_02-0045
409,late,late,4,,,,,10,email-enronsent28_01-0004
410,speculative,speculative,18,,peak,peak,19,26,email-enronsent28_01-0010
411,big,big,2,,rally,rally,3,25,email-enronsent28_01-0013
412,unconfirmed,unconfirmed,9,,,,,25,email-enronsent28_01-0013
413,record,record,13,,high,high,14,25,email-enronsent28_01-0013
414,bullish,bullish,24,,,,,25,email-enronsent28_01-0013
415,bad,bad,4,,,,,21,email-enronsent28_01-0015
416,many,many,18,,,,,27,email-enronsent28_01-0016
417,greatest,greatest,7,,market,market,9,17,email-enronsent28_01-0018
418,late,late,2,,,,,28,email-enronsent28_01-0019
419,dizzy,dizzy,6,,,,,28,email-enronsent28_01-0019
420,desperate,desperate,10,many,,,,28,email-enronsent28_01-0019
421,many,many,24,desperate,,,,28,email-enronsent28_01-0019
422,good,good,26,,,,,28,email-enronsent28_01-0019
423,Many,many,1,,thanks,thanks,2,3,email-enronsent28_01-0024
424,last,last,21,,months,month,23,24,email-enronsent28_01-0032
425,effective,effective,6,,,,,28,email-enronsent28_01-0033
426,correct,correct,15,,,,,16,email-enronsent28_01-0034
427,Best,best,20,,,,,46,email-enronsent28_01-0038
428,Available,available,21,,values,value,18,46,email-enronsent28_01-0038
429,official,official,35,,values,value,39,46,email-enronsent28_01-0038
430,drunk,drunk,9,,,,,19,email-enronsent04_01-0002
431,able,able,10,,,,,16,email-enronsent04_01-0004
432,ok,ok,5,,,,,6,email-enronsent04_01-0005
433,much,much,6,,trouble,trouble,7,57,email-enronsent04_01-0006
434,normal,normal,29,,,,,57,email-enronsent04_01-0006
435,Privileged,privileged,1,Confidential,Information,information,4,11,email-enronsent04_01-0008
436,Confidential,confidential,3,Privileged,Information,information,4,11,email-enronsent04_01-0008
437,responsible,responsible,13,,addressee,addressee,6,34,email-enronsent04_01-0009
438,such,such,20,,person,person,21,34,email-enronsent04_01-0009
439,such,such,2,,case,case,3,18,email-enronsent04_01-0010
440,other,other,5,,information,information,6,31,email-enronsent04_01-0012
441,official,official,16,,business,business,17,31,email-enronsent04_01-0012
442,small,small,5,,firm,firm,7,26,email-enronsent04_01-0018
443,toxic,toxic,19,,tort,tort,20,26,email-enronsent04_01-0018
444,minor,minor,23,,defense,defense,25,26,email-enronsent04_01-0018
445,exceptional,exceptional,4,,package,package,6,26,email-enronsent04_01-0019
446,healthy,healthy,9,,salary,salary,10,26,email-enronsent04_01-0019
447,comprehensive,comprehensive,12,,program,program,14,26,email-enronsent04_01-0019
448,ample,ample,17,,room,room,18,26,email-enronsent04_01-0019
449,able,able,4,,,,,26,email-enronsent04_01-0022
450,Toxic,toxic,15,,Tort,tort,16,26,email-enronsent04_01-0022
451,few,few,7,,times,time,8,29,email-enronsent04_01-0026
452,last,last,11,few,months,month,13,29,email-enronsent04_01-0026
453,few,few,12,last,months,month,13,29,email-enronsent04_01-0026
454,bad,bad,23,,situation,situation,24,29,email-enronsent04_01-0026
455,depressing,depressing,6,,stuff,stuff,7,15,email-enronsent04_01-0027
456,own,own,10,,shop,shop,11,12,email-enronsent04_01-0028
457,elementary,elementary,28,,school,school,29,63,email-enronsent04_01-0031
458,own,own,33,,outfit,outfit,34,63,email-enronsent04_01-0031
459,old,old,41,,man,man,42,63,email-enronsent04_01-0031
460,good,good,48,,contacts,contact,49,63,email-enronsent04_01-0031
461,general,general,51,married,,,,63,email-enronsent04_01-0031
462,married,married,57,general,,,,63,email-enronsent04_01-0031
463,few,few,4,,days,day,5,13,email-enronsent04_01-0032
464,natural,natural,9,,gas,gas,10,27,email-enronsent04_01-0034
465,defunctc,defunctc,17,,ompany,ompany,18,27,email-enronsent04_01-0034
466,last,last,24,,years,year,26,27,email-enronsent04_01-0034
467,sure,sure,2,,,,,19,email-enronsent04_01-0035
468,first,first,8,,effort,effort,9,16,email-enronsent32_01-0002
469,sure,sure,22,,,,,34,email-enronsent32_01-0003
470,close,close,26,,,,,34,email-enronsent32_01-0003
471,top,top,9,,risks,risk,11,15,email-enronsent32_01-0011
472,brief,brief,3,,,,,4,email-enronsent32_01-0012
473,Legal,legal,5,,Risk,risk,6,8,email-enronsent32_01-0016
474,sorry,sorry,2,,,,,6,email-enronsent32_01-0023
475,better,better,7,,things,thing,8,10,email-enronsent32_01-0025
476,sorry,sorry,1,,,,,2,email-enronsent32_01-0027
477,clean,clean,3,,drafts,draft,6,44,email-enronsent32_01-0031
478,last,last,4,,week,week,5,54,email-enronsent32_01-0033
479,acceptable,acceptable,20,,form,form,17,54,email-enronsent32_01-0033
480,last,last,43,,financing,financing,44,54,email-enronsent32_01-0033
481,same,same,6,basic,form,form,8,31,email-enronsent32_01-0034
482,basic,basic,7,same,form,form,8,31,email-enronsent32_01-0034
483,free,free,3,,,,,18,email-enronsent32_01-0036
484,Senior,senior,7,Regulatory,Counsel,counsel,9,20,email-enronsent32_01-0047
485,Regulatory,regulatory,8,Senior,Counsel,counsel,9,20,email-enronsent32_01-0047
486,last,last,2,,day,day,3,14,email-enronsent32_01-0048
487,best,best,10,,,,,13,email-enronsent32_01-0049
488,new,new,2,,address,address,3,26,email-enronsent32_01-0050
489,Senior,senior,9,Regulatory,Counsel,counsel,11,26,email-enronsent32_01-0050
490,Regulatory,regulatory,10,Senior,Counsel,counsel,11,26,email-enronsent32_01-0050
491,new,new,25,,amount,amount,28,42,email-enronsent32_01-0054
492,latest,latest,3,,draft,draft,4,14,email-enronsent32_01-0061
493,current,current,5,,info,info,6,10,email-enronsent32_01-0063
494,able,able,6,,,,,15,email-enronsent18_02-0002
495,green,green,15,,light,light,16,23,email-enronsent18_02-0005
496,preliminary,preliminary,34,,thoughts,thought,35,42,email-enronsent18_02-0011
497,possible,possible,37,,avenues,avenue,38,42,email-enronsent18_02-0011
498,additional,additional,40,,work,work,41,42,email-enronsent18_02-0011
499,great,great,5,,guy,guy,6,10,email-enronsent18_02-0017
500,few,few,4,,days,day,5,16,email-enronsent18_02-0021
501,quick,quick,2,,question,question,3,19,email-enronsent18_02-0037
502,last,last,13,few,reviews,review,18,19,email-enronsent18_02-0037
503,few,few,14,last,reviews,review,18,19,email-enronsent18_02-0037
504,sure,sure,4,,,,,9,email-enronsent18_02-0038
505,interested,interested,5,,,,,16,email-enronsent18_02-0045
506,Best,best,1,,,,,2,email-enronsent18_02-0046
507,interested,interested,10,,,,,11,email-enronsent18_02-0053
508,able,able,15,,,,,27,email-enronsent18_02-0054
509,other,other,22,,groups,group,24,27,email-enronsent18_02-0054
510,Good,good,1,,luck,luck,2,3,email-enronsent18_02-0057
511,involved,involved,11,,,,,15,email-enronsent18_02-0067
512,potential,potential,8,,economics,economics,9,20,email-enronsent18_02-0068
513,key,key,12,,,,,20,email-enronsent18_02-0068
514,worthy,worthy,15,,,,,20,email-enronsent18_02-0068
515,ideal,ideal,5,,environment,environment,6,20,email-enronsent18_02-0069
516,best,best,8,,,,,16,email-enronsent18_02-0070
517,ready,ready,3,,,,,15,email-enronsent18_02-0071
518,appropriate,appropriate,14,,,,,15,email-enronsent18_02-0071
519,Best,best,1,,regards,regards,2,3,email-enronsent18_02-0072
520,good,good,14,,,,,28,email-enronsent18_02-0078
521,fine,fine,4,,,,,5,email-enronsent18_02-0079
522,new,new,4,,developments,development,5,10,email-enronsent21_02-0006
523,last,last,11,,week,week,12,25,email-enronsent21_02-0007
524,correct,correct,18,,books,book,19,20,email-enronsent21_02-0008
525,other,other,8,,possibilities,possibility,9,13,email-enronsent21_02-0016
526,better,better,12,,,,,13,email-enronsent21_02-0016
527,better,better,7,,half,half,8,25,email-enronsent21_02-0020
528,accurate,accurate,15,,count,count,17,25,email-enronsent21_02-0020
529,kind,kind,6,,,,,23,email-enronsent21_02-0021
530,next,next,19,,couple,couple,20,23,email-enronsent21_02-0021
531,additional,additional,5,,id's,id',8,9,email-enronsent21_02-0026
532,sure,sure,12,,,,,20,email-enronsent21_02-0027
533,first,first,7,few,times,time,9,13,email-enronsent21_02-0047
534,few,few,8,first,times,time,9,13,email-enronsent21_02-0047
535,respective,respective,10,,groups,group,11,19,email-enronsent21_02-0049
536,same,same,5,,format,format,7,13,email-enronsent21_02-0050
537,able,able,8,,,,,20,email-enronsent21_02-0052
538,Global,global,7,,Operations,operation,9,14,email-enronsent21_02-0054
539,live,live,4,financial,deals,deal,6,10,email-enronsent21_02-0056
540,financial,financial,5,live,deals,deal,6,10,email-enronsent21_02-0056
541,large,large,11,,,,,17,email-enronsent21_02-0057
542,able,able,17,,,,,26,email-enronsent21_02-0059
543,able,able,20,,,,,29,email-enronsent21_02-0064
544,possible,possible,9,,,,,10,email-enronsent21_02-0073
545,good,good,2,,,,,5,newsgroup-groups.google.com_HarryPotterAppreciationSociety_a3adbf6ac3dc191c_ENG_20050921_061800-0002
546,bad,bad,4,,,,,5,newsgroup-groups.google.com_HarryPotterAppreciationSociety_a3adbf6ac3dc191c_ENG_20050921_061800-0002
547,good,good,3,,,,,4,newsgroup-groups.google.com_HarryPotterAppreciationSociety_a3adbf6ac3dc191c_ENG_20050921_061800-0006
548,cool,cool,8,,,,,8,newsgroup-groups.google.com_HarryPotterAppreciationSociety_a3adbf6ac3dc191c_ENG_20050921_061800-0008
549,awesome,awesome,3,,,,,8,newsgroup-groups.google.com_HarryPotterAppreciationSociety_a3adbf6ac3dc191c_ENG_20050921_061800-0009
550,better,better,5,,,,,8,newsgroup-groups.google.com_HarryPotterAppreciationSociety_a3adbf6ac3dc191c_ENG_20050921_061800-0009
551,old,old,7,African,elephant,elephant,9,43,newsgroup-groups.google.com_alt.animals_0b4766087b0d36b7_ENG_20031231_183500-0001
552,African,african,8,old,elephant,elephant,9,43,newsgroup-groups.google.com_alt.animals_0b4766087b0d36b7_ENG_20031231_183500-0001
553,uplifting,uplifting,15,,present,present,17,43,newsgroup-groups.google.com_alt.animals_0b4766087b0d36b7_ENG_20031231_183500-0001
554,new,new,5,,forum,forum,6,29,newsgroup-groups.google.com_JyotishRemedies_cc96334336b9368b_ENG_20050623_013400-0002
555,interactive,interactive,9,,discussion,discussion,12,29,newsgroup-groups.google.com_JyotishRemedies_cc96334336b9368b_ENG_20050623_013400-0002
556,absorbing,absorbing,11,,,,,29,newsgroup-groups.google.com_JyotishRemedies_cc96334336b9368b_ENG_20050623_013400-0002
557,active,active,6,,participation,participation,7,20,newsgroup-groups.google.com_JyotishRemedies_cc96334336b9368b_ENG_20050623_013400-0003
558,exciting,exciting,13,,place,place,15,20,newsgroup-groups.google.com_JyotishRemedies_cc96334336b9368b_ENG_20050623_013400-0003
559,like,like,17,,,,,20,newsgroup-groups.google.com_JyotishRemedies_cc96334336b9368b_ENG_20050623_013400-0003
560,minded,minded,18,,individuals,individual,19,20,newsgroup-groups.google.com_JyotishRemedies_cc96334336b9368b_ENG_20050623_013400-0003
561,little,little,25,integrated,amp,amp,27,36,newsgroup-groups.google.com_8TRACKGROUPFORCOOLPEOPLE_3b43577fb9121c9f_ENG_20050320_090500-0001
562,integrated,integrated,26,little,amp,amp,27,36,newsgroup-groups.google.com_8TRACKGROUPFORCOOLPEOPLE_3b43577fb9121c9f_ENG_20050320_090500-0001
563,big,big,33,,opener,opener,35,36,newsgroup-groups.google.com_8TRACKGROUPFORCOOLPEOPLE_3b43577fb9121c9f_ENG_20050320_090500-0001
564,complete,complete,1,,,,,18,newsgroup-groups.google.com_8TRACKGROUPFORCOOLPEOPLE_3b43577fb9121c9f_ENG_20050320_090500-0002
565,original,original,3,,tubes,tube,5,18,newsgroup-groups.google.com_8TRACKGROUPFORCOOLPEOPLE_3b43577fb9121c9f_ENG_20050320_090500-0002
566,good,good,15,,,,,18,newsgroup-groups.google.com_8TRACKGROUPFORCOOLPEOPLE_3b43577fb9121c9f_ENG_20050320_090500-0002
567,gay,gay,4,,marriage,marriage,5,5,newsgroup-groups.google.com_GayNews_0f9e221229ed0ee5_ENG_20050307_110600-0001
568,Baptist,baptist,2,,Pastor,pastor,3,41,newsgroup-groups.google.com_GayNews_0f9e221229ed0ee5_ENG_20050307_110600-0004
569,happy,happy,12,,marriage,marriage,13,41,newsgroup-groups.google.com_GayNews_0f9e221229ed0ee5_ENG_20050307_110600-0004
570,special,special,24,,ingredient,ingredient,25,41,newsgroup-groups.google.com_GayNews_0f9e221229ed0ee5_ENG_20050307_110600-0004
571,Double,double,30,,dating,dating,32,41,newsgroup-groups.google.com_GayNews_0f9e221229ed0ee5_ENG_20050307_110600-0004
572,coupled,coupled,34,,friends,friend,35,41,newsgroup-groups.google.com_GayNews_0f9e221229ed0ee5_ENG_20050307_110600-0004
573,gay,gay,40,,,,,41,newsgroup-groups.google.com_GayNews_0f9e221229ed0ee5_ENG_20050307_110600-0004
574,lazy,lazy,3,,star,star,4,38,newsgroup-groups.google.com_HumorUniversity_00dd93cc9545deb3_ENG_20051130_122700-0002
575,Good,good,1,,Morning,morning,2,4,newsgroup-groups.google.com_HumorUniversity_00dd93cc9545deb3_ENG_20051130_122700-0004
576,Nice,nice,3,,Day,day,4,6,newsgroup-groups.google.com_HumorUniversity_00dd93cc9545deb3_ENG_20051130_122700-0005
577,good,good,7,,book,book,8,26,newsgroup-groups.google.com_GUHarryPotterReaders_75faa7d55aff9230_ENG_20050715_234000-0001
578,new,new,18,,series,series,19,26,newsgroup-groups.google.com_GUHarryPotterReaders_75faa7d55aff9230_ENG_20050715_234000-0001
579,brillant,brilliant,4,,scenes,scene,6,38,newsgroup-groups.google.com_GUHarryPotterReaders_75faa7d55aff9230_ENG_20050715_234000-0002
580,lovable,lovable,8,,heroes,hero,9,38,newsgroup-groups.google.com_GUHarryPotterReaders_75faa7d55aff9230_ENG_20050715_234000-0002
581,compelling,compelling,14,,line,line,16,38,newsgroup-groups.google.com_GUHarryPotterReaders_75faa7d55aff9230_ENG_20050715_234000-0002
582,dying,dying,22,,,,,38,newsgroup-groups.google.com_GUHarryPotterReaders_75faa7d55aff9230_ENG_20050715_234000-0002
583,next,next,25,,part,part,26,38,newsgroup-groups.google.com_GUHarryPotterReaders_75faa7d55aff9230_ENG_20050715_234000-0002
584,more,more,36,,,,,38,newsgroup-groups.google.com_GUHarryPotterReaders_75faa7d55aff9230_ENG_20050715_234000-0002
585,fascinating,fascinating,5,,links,link,6,43,newsgroup-groups.google.com_alt.animals.cat_0e976a5d400ddce1_ENG_20040103_090500-0004
