,n_word,n_lemma,n_id,det,det_lemma,num,num_lemma,adj,num_adj,ncomp,ncomp_lemma,num_ncomp,nmod,nmod_lemma,num_nmod,sen_len,sen_id
2725,impression,impression,3,,,,,overall,1,,,,,,,26,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0067
2726,campaign,campaign,14,the,the,,,,,,,,,,,26,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0067
2727,people,people,18,the,the,,,other,1,,,,,,,26,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0067
2728,state,state,24,,,,,,,,,,,,,26,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0067
2729,headquarters,headquarters,25,the,the,,,,,state,state,1,,,,26,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0067
2730,lieutenant,lieutenant,5,a,a,,,,,,,,,,,23,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0070
2731,lieutenant,lieutenant,11,a,a,,,,,,,,,,,23,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0070
2732,interest,interest,9,any,any,,,,,,,,,,,17,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0071
2733,military,military,16,the,the,,,,,,,,,,,17,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0071
2734,fact,fact,2,,,,,,,,,,,,,17,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0072
2735,subject,subject,8,the,the,,,,,,,,,,,17,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0072
2736,subject,subject,16,the,the,,,,,,,,,,,17,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0072
2737,subject,subject,13,the,the,,,,,,,,,,,20,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0073
2738,freedom,freedom,15,,,,,,,,,,,,,16,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0074
2739,woman,woman,6,a,a,,,"beautiful, young",2,,,,,,,11,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0075
2740,campaign,campaign,10,the,the,,,,,,,,,,,11,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0075
2741,evenings,evening,6,the,the,,,,,,,,,,,12,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0076
2742,time,time,11,a,a,,,good,1,,,,,,,12,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0076
2743,fact,fact,2,,,,,,,,,,,,,38,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0077
2744,house,house,7,the,the,,,,,,,,,,,38,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0077
2745,disrepair,disrepair,12,,,,,such,1,,,,,,,38,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0077
2746,damage,damage,15,,,,,,,,,,walls,wall,1,38,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0077
2747,walls,wall,18,the,the,,,,,,,,,,,38,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0077
2748,chandelier,chandelier,21,a,a,,,,,,,,,,,38,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0077
2749,family,family,27,the,the,,,,,,,,,,,38,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0077
2750,repair,repair,36,,,,,,,,,,,,,38,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0077
2751,bill,bill,37,the,the,,,unpaid,1,repair,repair,1,,,,38,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0077
2752,office,office,9,the,the,,,,,,,,,,,36,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0078
2753,way,way,15,a,a,,,friendly,1,,,,,,,36,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0078
2754,stories,story,19,,,,,,,,,,drinking,drinking,1,36,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0078
2755,drinking,drinking,22,the,the,,,,,,,,,,,36,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0078
2756,night,night,27,the,the,,,,,,,,,,,36,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0078
2757,conversation,conversation,34,,,,,,,,,,,,,36,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0078
2758,starter,starter,35,a,a,,,,,conversation,conversation,1,,,,36,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0078
2759,People,people,4,,,,,,,,,,,,,15,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0079
2760,ways,way,7,,,,,different,1,,,,,,,15,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0079
2761,days,day,11,the,the,,,,,,,,,,,15,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0079
2762,office,office,14,any,any,,,,,,,,,,,15,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0079
2763,kids,kid,8,,,,,,,,,,,,,26,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0080
2764,football,football,16,,,,,,,,,,,,,26,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0080
2765,weather,weather,25,the,the,,,,,,,,,,,26,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0080
2766,gambit,gambit,7,,,,,,,,,,,,,24,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0081
2767,night,night,21,the,the,,,,,,,,,,,24,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0081
2768,frequency,frequency,6,the,the,,,,,,,,,,,20,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0082
2769,subject,subject,13,the,the,,,,,,,,,,,20,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0082
2770,time,time,9,that,that,,,,,,,,,,,22,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0083
2771,mid-20s,mid-20,12,,,,,,,,,,,,,39,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0084
2772,conversations,conversation,15,,,,,,,,,,,,,39,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0084
2773,context,context,20,the,the,,,,,,,,,,,39,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0084
2774,campaign,campaign,29,a,a,,,senatorial,1,,,,,,,39,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0084
2775,drinking,drinking,35,,,,,,,,,,,,,39,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0084
2776,night,night,37,the,the,,,,,,,,,,,39,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0084
2777,stories,story,13,,,,,,,,,,days,day,1,51,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0086
2778,days,day,16,,,,,,,,,,,,,51,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0086
2779,driving,driving,32,,,,,erratic,1,,,,,,,51,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0086
2780,officers,officer,40,the,the,,,,,,,,,,,51,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0086
2781,grandson,grandson,45,the,the,,,,,,,,,,,51,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0086
2782,class,class,6,,,,,middle,1,,,,,,,27,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0087
2783,boy,boy,8,a,a,,,,,class,class,1,,,,27,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0087
2784,way,way,14,the,the,,,,,,,,,,,27,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0087
2785,story,story,26,that,that,,,,,,,,,,,27,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0087
2786,law,law,16,,,,,,,,,,,,,34,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0088
2787,enforcement,enforcement,17,the,the,,,,,law,law,1,,,,34,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0088
2788,grandson,grandson,24,the,the,,,,,,,,,,,34,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0088
2789,stories,story,13,,,,,drunk,1,,,,,,,14,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0090
2790,sort,sort,11,the,the,,,,,,,,things,thing,1,22,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0091
2791,things,thing,13,,,,,,,,,,,,,22,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0091
2792,guys,guy,14,,,,,,,,,,,,,22,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0091
2793,girls,girl,20,the,the,,,,,,,,,,,22,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0091
2794,decades,decade,3,,,,,,,,,,sort,sort,1,15,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0093
2795,sort,sort,6,this,this,,,,,,,,behavior,behavior,1,15,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0093
2796,behavior,behavior,8,,,,,,,,,,,,,15,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0093
2797,person,person,13,a,a,,,untouched,1,,,,,,,15,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0093
2798,world,world,2,,,,,,,,,,,,,12,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0094
2799,crisis,crisis,5,,,,,,,,,,,,,12,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0094
2800,Republic,republic,8,,,,,,,,,,,,,12,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0094
2801,danger,danger,11,,,,,,,,,,,,,12,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0094
2802,hands,hand,8,the,the,,,,,,,,man,man,1,18,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0095
2803,man,man,11,a,a,,,,,,,,,,,18,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0095
2804,life,life,15,,,,,,,,,,,,,18,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0095
2805,cities,city,3,the,the,,,,,,,,,,,12,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0001
2806,fire,fire,6,,,,,,,,,,,,,12,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0001
2807,flesh,flesh,10,the,the,,,,,,,,men,man,1,12,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0001
2808,men,man,12,,,,,,,,,,,,,12,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0001
2809,death,death,4,,,,,,,,,,,,,8,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0002
2810,end,end,8,the,the,,,,,,,,,,,8,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0002
2811,law,law,10,,,,,,,,,,,,,12,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0003
2812,citizen,citizen,12,,,one,one,,,,,,,,,12,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0003
2813,death,death,4,,,,,,,,,,,,,11,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0004
2814,end,end,8,the,the,,,,,,,,,,,11,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0004
2815,time,time,6,,,,,,,,,,,,,17,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0005
2816,today,today,7,,,,,,,,,,,,,17,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0005
2817,stories,story,14,some,some,,,,,,,,,,,17,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0005
2818,attention,attention,16,,,,,,,,,,,,,17,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0005
2819,headline,headline,6,the,the,,,,,,,,,,,20,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0006
2820,AK47s,ak47,11,,,"200,000","200,000",,,,,,,,,20,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0006
2821,Hands,hand,15,the,the,,,,,,,,Terrorists,terrorist,1,20,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0006
2822,Terrorists,terrorist,18,,,,,,,,,,,,,20,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0006
2823,thread,thread,5,this,this,,,,,,,,board,board,1,12,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0007
2824,discussion,discussion,9,,,,,,,,,,,,,12,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0007
2825,board,board,10,the,the,,,,,discussion,discussion,1,,,,12,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0007
2826,guns,gun,3,Some,Some,"200,000","200,000",,,,,,,,,22,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0008
2827,security,security,9,,,,,,,,,,,,,22,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0008
2828,forces,force,10,,,,,Iraqi,1,security,security,1,,,,22,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0008
2829,terrorists,terrorist,16,,,,,,,,,,,,,22,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0008
2830,yesterday,yesterday,21,,,,,,,,,,,,,22,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0008
2831,tonne,tonne,4,,,99,99,,,,,,,,,21,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0009
2832,cache,cache,5,The,The,,,,,tonne,tonne,1,AK47s,ak47,1,21,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0009
2833,AK47s,ak47,7,,,,,,,,,,,,,21,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0009
2834,base,base,18,a,a,,,,,,,,,,,21,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0009
2835,planeloads,planeload,4,the,the,four,four,,,,,,arms,arm,1,9,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0010
2836,arms,arm,6,,,,,,,,,,,,,9,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0010
2837,Orders,order,1,,,,,,,,,,,,,16,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0011
2838,deal,deal,4,the,the,,,,,,,,,,,16,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0011
2839,work,work,3,the,the,,,,,,,,,,,15,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0012
2840,web,web,10,a,a,,,complex,1,,,,traders,trader,1,15,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0012
2841,arms,arm,13,,,,,,,,,,,,,15,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0012
2842,traders,trader,14,,,,,private,1,arms,arm,1,,,,15,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0012
2843,airline,airline,4,the,the,,,Moldovan,1,,,,,,,29,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0013
2844,shipment,shipment,9,the,the,,,,,,,,,,,29,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0013
2845,arms,arm,19,,,,,,,,,,,,,29,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0013
2846,rights,rights,24,,,,,human,1,,,,,,,29,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0013
2847,group,group,25,,,,,,,rights,rights,1,,,,29,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0013
2848,probe,probe,5,a,a,,,separate,1,,,,,,,24,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0014
2849,thousands,thousand,8,,,,,,,,,,guns,gun,1,24,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0014
2850,guns,gun,10,,,,,,,,,,,,,24,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0014
2851,police,police,15,,,,,,,,,,,,,24,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0014
2852,army,army,17,,,,,,,,,,,,,24,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0014
2853,spokesman,spokesman,3,,,,,chief,1,,,,,,,21,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0015
2854,one,one,14,no,no,,,,,,,,,,,21,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0015
2855,assault,assault,19,,,,,,,,,,,,,21,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0015
2856,rifles,rifle,20,,,"200,000","200,000",,,assault,assault,1,,,,21,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0015
2857,weapons,weapon,3,these,these,,,,,,,,,,,13,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0016
2858,prospect,prospect,11,a,a,,,terrifying,1,,,,,,,13,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0016
2859,defence,defence,2,,,,,,,,,,,,,21,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0017
2860,chiefs,chief,3,,,,,American,1,defence,defence,1,,,,21,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0017
2861,firm,firm,7,a,a,,,,,,,,,,,21,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0017
2862,guns,gun,11,the,the,,,,,,,,war,war,1,21,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0017
2863,90s,90,15,,,,,,,,,,,,,21,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0017
2864,war,war,17,the,the,,,Bosnian,1,90s,90,1,,,,21,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0017
2865,air,air,2,,,,,,,,,,,,,24,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0018
2866,traffic,traffic,3,,,,,,,air,air,1,,,,24,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0018
2867,controllers,controller,4,,,,,,,traffic,traffic,1,,,,24,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0018
2868,record,record,9,no,no,,,,,,,,flights,flight,1,24,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0018
2869,flights,flight,12,the,the,,,,,,,,,,,24,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0018
2870,coalition,coalition,2,,,,,,,,,,,,,31,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0019
2871,forces,force,3,,,,,,,coalition,coalition,1,,,,31,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0019
2872,spokesman,spokesman,4,A,A,,,,,forces,force,1,,,,31,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0019
2873,weapons,weapon,12,any,any,,,,,,,,,,,31,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0019
2874,purchases,purchase,25,any,any,,,,,,,,,,,31,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0019
2875,officials,official,4,,,,,,,,,,,,,27,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0020
2876,fears,fear,8,,,,,,,,,,,,,27,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0020
2877,arms,arm,11,,,,,Bosnian,1,,,,,,,27,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0020
2878,firms,firm,20,,,,,,,,,,,,,27,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0020
2879,insurgents,insurgent,26,,,,,,,,,,,,,27,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0020
2880,spokesman,spokesman,3,A,A,,,,,,,,,,,22,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0021
2881,tracking,tracking,10,,,,,,,,,,,,,22,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0021
2882,mechanism,mechanism,11,no,no,,,,,tracking,tracking,1,,,,22,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0021
2883,hands,hand,21,the,the,,,wrong,1,,,,,,,22,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0021
2884,concerns,concern,3,,,,,,,,,,,,,12,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0022
2885,year,year,2,This,This,,,,,,,,,,,28,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0023
2886,newspaper,newspaper,4,a,a,,,,,,,,,,,28,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0023
2887,firms,firm,8,,,two,two,,,,,,,,,28,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0023
2888,deal,deal,13,a,a,,,,,,,,,,,28,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0023
2889,thousands,thousand,16,,,,,,,,,,guns,gun,1,28,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0023
2890,guns,gun,18,,,,,,,,,,forces,force,1,28,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0023
2891,forces,force,21,,,,,Iraqi,1,,,,,,,28,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0023
2892,airline,airline,3,The,The,,,Moldovan,1,,,,,,,17,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0024
2893,head,head,9,,,,,,,,,,,,,37,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0025
2894,wall,wall,15,the,the,,,,,,,,,,,37,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0025
2895,moment,moment,16,a,a,,,,,,,,,,,37,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0025
2896,play,play,21,the,the,,,,,,,,,,,37,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0025
2897,incompetence,incompetence,23,,,,,,,,,,,,,37,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0025
2898,theory,theory,24,the,the,,,,,incompetence,incompetence,1,,,,37,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0025
2899,Administration,administration,32,the,the,,,,,,,,,,,37,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0025
2900,critics,critic,36,,,,,"harshest, mainstream",2,,,,,,,37,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0025
2901,administration,administration,10,an,an,,,,,,,,,,,51,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0026
2902,misdirection,misdirection,14,,,,,,,,,,,,,51,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0026
2903,point,point,17,this,this,,,,,,,,,,,51,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0026
2904,government,government,23,,,,,representative,1,,,,,,,51,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0026
2905,days,day,30,these,these,,,,,,,,,,,51,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0026
2906,security,security,38,,,,,national,1,,,,,,,51,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0026
2907,gangland,gangland,46,a,a,,,global,1,,,,drugs,drug,1,51,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0026
2908,drugs,drug,48,,,,,,,,,,,,,51,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0026
2909,guns,gun,50,,,,,,,,,,,,,51,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0026
2910,tens,ten,3,,,,,,,,,,billions,billion,1,43,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0027
2911,billions,billion,5,the,the,,,,,,,,dollars,dollar,1,43,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0027
2912,dollars,dollar,7,,,,,,,,,,,,,43,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0027
2913,planeloads,planeload,17,,,,,,,,,,arms,arm,1,43,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0027
2914,arms,arm,19,,,,,,,,,,,,,43,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0027
2915,work,work,33,the,the,,,,,,,,,,,43,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0027
2916,criminal,criminal,37,an,an,,,international,1,,,,stature,stature,1,43,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0027
2917,stature,stature,42,,,,,untouchable,1,,,,,,,43,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0027
2918,name,name,4,,,,,,,,,,,,,31,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0028
2919,coverage,coverage,13,whatever,whatever,,,,,,,,,,,31,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0028
2920,story,story,15,this,this,,,,,,,,,,,31,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0028
2921,others,other,24,,,,,many,1,,,,,,,31,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0028
2922,media,media,27,the,the,,,,,,,,,,,31,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0028
2923,triviality,triviality,30,,,,,,,,,,,,,31,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0028
2924,decision,decision,4,a,a,,,,,,,,,,,16,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0029
2925,trial,trial,10,the,the,,,,,,,,,,,16,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0029
2926,priest,priest,13,,,,,,,,,,,,,16,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0029
2927,guilty,guilty,4,,,,,,,,,,,,,5,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0030
2928,jury,jury,11,the,the,,,,,,,,,,,33,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0031
2929,guilty,guilty,13,,,,,,,,,,,,,33,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0031
2930,verdict,verdict,14,,,,,,,guilty,guilty,1,,,,33,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0031
2931,lawyers,lawyer,26,,,,,,,,,,,,,33,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0031
2932,handcuffs,handcuffs,32,,,,,,,,,,,,,33,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0031
2933,crime,crime,2,The,The,,,,,,,,,,,21,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0033
2934,sacristy,sacristy,6,the,the,,,,,,,,,,,21,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0033
2935,hospital,hospital,9,,,,,,,,,,,,,21,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0033
2936,chapel,chapel,10,the,the,,,,,hospital,hospital,1,,,,21,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0033
2937,Toledo,toledo,13,,,,,downtown,1,,,,,,,21,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0033
